vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CH M 2_9,CH,M,2_9,2,9,0.8,1,expB,CH_2_9
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,0.8,1,expB,CH_2_10
CON F 2_4,CON,F,2_4,2,4,0.8,1,expB,CON_2_4
CON F 2_5,CON,F,2_5,2,5,0.8,1,expB,CON_2_5
CON F 2_7,CON,F,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_1,CON,M,2_1,2,1,0.8,1,expB,CON_2_1
CON M 2_1,CON,M,2_1,2,1,0.8,1,expB,CON_2_1
CON M 2_1,CON,M,2_1,2,1,0.8,1,expB,CON_2_1
CON M 2_1,CON,M,2_1,2,1,0.8,1,expB,CON_2_1
CON M 2_1,CON,M,2_1,2,1,0.8,1,expB,CON_2_1
CON M 2_2,CON,M,2_2,2,2,0.8,1,expB,CON_2_2
CON M 2_2,CON,M,2_2,2,2,0.8,1,expB,CON_2_2
CON M 2_2,CON,M,2_2,2,2,0.8,1,expB,CON_2_2
CON M 2_2,CON,M,2_2,2,2,0.8,1,expB,CON_2_2
CON M 2_3,CON,M,2_3,2,3,0.8,1,expB,CON_2_3
CON M 2_3,CON,M,2_3,2,3,0.8,1,expB,CON_2_3
CON M 2_4,CON,M,2_4,2,4,0.8,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,0.8,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,0.8,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,0.8,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,0.8,1,expB,CON_2_4
CON M 2_5,CON,M,2_5,2,5,0.8,1,expB,CON_2_5
CON M 2_5,CON,M,2_5,2,5,0.8,1,expB,CON_2_5
CON M 2_5,CON,M,2_5,2,5,0.8,1,expB,CON_2_5
CON M 2_5,CON,M,2_5,2,5,0.8,1,expB,CON_2_5
CON M 2_6,CON,M,2_6,2,6,0.8,1,expB,CON_2_6
CON M 2_6,CON,M,2_6,2,6,0.8,1,expB,CON_2_6
CON M 2_6,CON,M,2_6,2,6,0.8,1,expB,CON_2_6
